Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Organization-890751f4-2924-4636-bab7-efffc7f3cf14.json	564	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0
fsh-generated/resources/Organization-890751f4-2924-4636-bab7-efffc7f3cf15.json	564	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0
fsh-generated/resources/Patient-2b90dd2b-2dab-4c75-9bb9-a355e07401e8.json	1299	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-1c616b24-3895-48c4-9a02-9a64110351ee.json	653	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-1c616b24-3895-48c4-9a02-9a64110351ef.json	653	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-Questionnaire-ConnectathonSubmission.json	7855	4	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	71	13055	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ConsentPeriod.json	1241	4	1	0	0	0	0	10	1	23	0	0	0	0	0	0	0	0	0	0	32	663	0	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-ConsentVerifiedBy.json	1529	3	0	0	0	1	0	50	0	12	0	0	0	0	0	0	0	0	0	0	31	265	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-HajjConsent.json	1708	4	0	0	0	0	0	163	0	70	0	0	0	0	0	0	0	1	0	0	256	1508	0	0	0	0	14	0	0
fsh-generated/resources/StructureDefinition-HajjIPS.json	1668	4	0	0	0	0	0	553	0	149	0	0	2	0	0	0	0	6	0	0	1527	6119	0	0	0	0	86	1	5
fsh-generated/resources/StructureDefinition-HajjIPSComposition.json	935	3	0	0	0	0	0	123	0	90	0	0	1	0	0	0	0	2	0	0	612	1717	0	0	0	0	30	0	2
fsh-generated/resources/StructureDefinition-HajjOrganization.json	657	4	0	0	0	0	0	55	0	11	0	0	0	0	0	0	0	1	0	0	65	259	0	0	0	0	4	0	1
fsh-generated/resources/ValueSet-Browser.json	345	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	981	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-DistributionModel.json	407	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	239	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IPS.HAJJ.ACTOR.SYSTEM.json	816	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	243	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IPS.HAJJ.ACTOR.json	450	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	252	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IPS.HAJJ.CONSENT.json	491	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	246	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IPS.HAJJ.TRANSACTION.json	492	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	252	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Language.json	351	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	242	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-LicensingModel.json	389	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	240	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-OperatingSystem.json	395	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	241	0	0	0	0	0	0	0
